Fecha,Producto,Cantidad,Precio Unitario,Total Venta
8/25/2023,Electrónic,5,200,1000
8/14/2023,Alimentos,9,10,90
8/30/2023,Ropa,6,50,300
11/9/2023,Alimentos,2,10,20
10/26/2023,Ropa,8,50,400
12/1/2023,Juguetes,2,30,60
5/16/2023,Electrónic,4,200,800
2/9/2023,Libros,1,20,20
1/9/2023,Electrónic,2,200,400
5/3/2023,Electrónic,6,200,1200
11/30/2023,Electrónic,5,200,1000
10/26/2023,Electrónic,1,200,200
8/22/2023,Juguetes,3,30,90
6/5/2023,Electrónic,1,200,200
10/2/2023,Juguetes,6,30,180
1/25/2023,Electrónic,3,200,600
5/20/2023,Ropa,4,50,200
4/29/2023,Alimentos,8,10,80
12/20/2023,Ropa,2,50,100
4/10/2023,Ropa,8,50,400
5/19/2023,Juguetes,5,30,150
2/3/2023,Electrónic,4,200,800
3/4/2023,Ropa,5,50,250
11/12/2023,Juguetes,7,30,210
5/22/2023,Libros,7,20,140
11/19/2023,Ropa,4,50,200
7/31/2023,Alimentos,6,10,60
10/11/2023,Ropa,6,50,300
12/9/2023,Juguetes,4,30,120
3/6/2023,Libros,9,20,180
3/27/2023,Alimentos,1,10,10
4/23/2023,Ropa,9,50,450
5/26/2023,Electrónic,6,200,1200
1/20/2023,Juguetes,5,30,150
3/22/2023,Alimentos,9,10,90
2/26/2023,Libros,9,20,180
7/30/2023,Juguetes,1,30,30
11/18/2023,Ropa,3,50,150
6/20/2023,Libros,8,20,160
6/6/2023,Libros,3,20,60
5/2/2023,Alimentos,5,10,50
8/7/2023,Electrónic,9,200,1800
11/18/2023,Juguetes,8,30,240
1/17/2023,Juguetes,8,30,240
10/10/2023,Libros,6,20,120
9/11/2023,Juguetes,10,30,300
1/3/2023,Juguetes,10,30,300
11/7/2023,Alimentos,3,10,30
8/20/2023,Electrónic,6,200,1200
7/21/2023,Juguetes,3,30,90
